lines_of_code,cyclomatic_complexity,num_functions,num_classes,comment_density,code_churn,num_developers,commit_frequency,avg_function_length,bug_fix_commits,past_defects,defect
910,12,7,79,0.59,539,4,23,70,7,23,1
3822,9,197,72,0.3,584,8,126,180,153,19,1
3142,20,99,92,0.11,593,6,272,152,177,2,1
516,39,52,79,0.18,81,14,16,159,0,46,1
4476,27,162,75,0.21,918,1,164,169,109,29,1
3494,3,28,77,0.14,87,3,225,14,178,35,1
3221,24,5,37,0.45,62,2,122,131,41,36,1
2969,15,143,32,0.03,160,8,261,162,198,18,1
180,34,161,60,0.27,201,1,279,13,2,4,1
1735,32,48,88,0.56,306,3,85,6,3,30,1
819,21,28,86,0.46,212,10,204,140,184,49,1
2441,1,84,70,0.14,529,2,129,173,4,37,1
2483,33,28,46,0.04,778,7,267,191,76,6,1
1234,11,117,96,0.46,520,3,134,133,165,48,1
4605,3,79,6,0.07,62,9,274,90,42,15,1
3435,22,120,84,0.0,314,14,246,101,157,7,1
4167,10,163,10,0.02,545,13,88,9,144,33,1
4893,44,64,81,0.37,950,4,176,125,86,25,1
2954,38,105,74,0.08,993,7,94,135,34,8,1
524,24,196,84,0.12,519,5,85,150,185,42,1
1132,7,27,82,0.02,304,10,206,174,199,32,1
2608,49,173,90,0.32,778,10,98,188,154,38,1
2097,49,10,11,0.05,773,2,235,72,50,13,1
2797,36,14,65,0.14,831,8,257,97,126,30,1
1025,1,175,69,0.29,640,11,105,50,110,34,1
1856,1,77,77,0.01,362,6,273,9,71,11,1
239,26,181,47,0.31,31,14,3,199,23,16,1
2784,17,66,24,0.1,210,2,34,162,96,40,1
3055,11,178,38,0.36,497,12,176,172,100,25,1
4708,3,43,78,0.15,924,3,158,95,107,49,1
1949,10,169,23,0.49,981,12,16,175,140,36,1
1317,2,41,20,0.41,761,8,173,140,176,49,1
1578,32,47,96,0.34,88,9,207,7,188,13,1
3252,16,45,19,0.38,120,1,121,150,21,28,1
3606,48,93,43,0.6,849,14,44,66,130,26,1
3940,26,65,47,0.24,395,3,184,83,117,46,1
696,40,17,5,0.21,385,14,99,87,83,15,1
2938,39,172,71,0.34,362,12,195,65,155,34,1
2485,10,57,30,0.04,422,14,262,50,113,43,1
650,36,33,70,0.04,751,5,278,46,27,13,1
2413,30,63,35,0.37,179,13,298,119,3,12,1
2111,9,196,91,0.44,100,9,196,21,134,31,1
291,5,181,36,0.45,584,2,106,72,145,7,0
2091,7,154,33,0.4,772,14,15,124,96,10,0
2874,36,88,87,0.45,591,10,299,87,41,9,1
2662,1,71,99,0.22,789,1,165,187,195,2,1
1413,27,171,5,0.46,506,9,122,69,56,48,1
1528,12,181,87,0.13,313,2,29,196,138,26,1
2606,16,90,75,0.19,15,3,201,102,92,1,1
825,48,14,59,0.02,824,7,233,12,198,42,1
4064,8,179,30,0.53,927,13,33,40,37,22,1
84,25,125,29,0.41,880,7,78,95,175,18,1
3202,13,165,18,0.55,44,8,130,147,170,21,1
2005,41,45,21,0.19,769,8,55,134,145,44,1
1635,10,123,28,0.53,102,12,88,180,74,18,1
3993,40,139,18,0.34,286,6,198,31,39,31,1
3123,33,65,85,0.48,118,3,63,139,169,43,1
1071,35,163,47,0.31,592,10,220,187,6,19,1
3511,37,160,52,0.01,319,1,104,22,94,11,1
2663,39,178,74,0.3,449,8,140,81,122,38,1
3893,28,33,35,0.46,49,13,230,28,11,29,1
1550,16,69,18,0.58,380,13,106,112,178,38,1
4848,8,33,3,0.37,305,2,78,163,38,15,1
211,33,66,14,0.42,766,5,263,84,134,42,1
4347,35,33,62,0.54,639,8,258,33,84,49,1
2031,38,152,5,0.46,209,10,70,16,48,27,1
1045,12,141,84,0.5,178,14,297,14,21,27,1
4961,15,7,64,0.43,341,4,64,199,88,40,1
3392,17,35,3,0.32,265,7,129,62,66,40,1
4601,27,19,79,0.42,551,7,56,90,180,7,1
3848,21,98,92,0.08,110,11,95,39,144,34,1
1325,21,162,25,0.07,888,13,52,123,105,41,1
1066,17,154,95,0.23,260,5,274,125,0,15,1
387,27,198,83,0.08,18,1,221,179,81,18,1
928,12,53,64,0.25,164,8,36,104,117,30,1
1126,48,182,80,0.54,93,8,118,160,162,7,1
4937,44,99,3,0.47,452,1,177,118,176,24,1
4043,36,151,99,0.17,404,14,234,68,84,43,1
4909,28,191,35,0.56,958,6,211,197,126,44,1
429,25,10,83,0.04,638,9,195,67,123,42,1
542,9,36,81,0.31,194,3,217,113,131,20,1
2112,47,103,3,0.1,655,1,96,139,39,18,1
3934,37,161,76,0.2,711,2,56,164,195,20,1
114,23,187,25,0.23,252,10,12,23,81,15,1
2618,11,65,51,0.26,571,7,184,96,11,4,0
2077,1,127,50,0.41,271,8,167,77,47,43,1
2745,16,161,58,0.4,114,8,23,53,152,9,1
1545,13,119,72,0.32,596,4,277,157,161,27,1
441,20,71,20,0.16,893,6,14,148,93,42,1
4564,16,189,61,0.21,479,1,84,142,112,24,1
4524,16,144,15,0.11,461,11,185,155,174,39,1
3611,35,192,25,0.04,113,3,292,116,43,25,1
2328,32,188,37,0.21,257,10,42,108,153,10,1
3149,23,115,29,0.34,739,8,20,90,11,35,1
250,25,14,25,0.31,427,7,219,137,26,38,1
4925,43,174,97,0.39,470,3,210,198,163,20,1
3154,28,165,83,0.16,81,6,223,194,107,27,1
4648,45,134,22,0.28,887,4,124,128,30,34,1
2504,2,69,95,0.58,219,10,36,174,62,4,0
3695,3,11,29,0.21,899,6,17,191,1,49,1
854,31,199,25,0.26,729,2,270,168,130,23,1
2781,33,138,87,0.05,691,10,296,123,8,24,1
2823,33,146,55,0.08,775,5,11,138,192,19,1
1620,47,104,66,0.39,235,3,274,59,150,5,1
2740,35,123,87,0.57,327,14,106,9,152,15,1
3890,36,82,30,0.56,292,7,288,69,97,37,1
1078,26,131,21,0.34,982,4,215,179,74,17,1
552,12,30,21,0.29,919,1,249,72,16,17,1
4543,44,51,55,0.58,256,10,89,43,182,17,1
920,46,141,58,0.33,623,6,269,169,124,15,1
4538,11,90,8,0.56,475,8,231,54,164,31,1
256,6,147,86,0.49,837,12,165,47,104,34,1
1534,25,11,86,0.31,677,6,14,176,158,48,1
913,46,69,19,0.14,327,14,189,135,22,1,1
2840,34,25,26,0.31,891,7,120,105,7,3,1
613,35,93,26,0.44,293,14,123,82,150,46,1
4241,21,22,60,0.44,746,4,192,154,26,20,1
1807,18,173,28,0.51,733,6,241,157,43,10,1
1728,8,160,67,0.28,459,3,32,85,14,3,1
3292,34,163,51,0.3,201,4,103,88,93,11,1
4686,48,57,14,0.02,449,5,204,26,191,34,1
1109,14,180,6,0.25,142,10,153,107,197,33,1
1772,19,55,83,0.49,902,3,251,135,196,6,1
3364,20,192,72,0.37,803,11,129,143,169,42,1
3207,4,90,92,0.02,816,5,95,174,71,49,1
2675,38,131,74,0.16,36,14,134,32,99,15,1
2779,32,36,65,0.4,25,2,283,34,102,29,1
1647,26,60,23,0.42,620,14,272,57,32,3,1
3110,28,120,65,0.42,966,13,22,110,85,12,1
2743,12,159,75,0.23,89,7,44,43,57,11,1
4941,10,7,21,0.36,350,7,251,150,118,41,1
3677,41,84,68,0.32,727,11,285,125,91,13,1
1413,35,107,79,0.51,732,7,43,117,36,49,1
2031,33,83,70,0.08,832,9,234,183,85,21,1
1713,14,45,42,0.12,452,3,277,67,152,31,1
1579,40,40,7,0.55,484,12,183,21,14,13,1
2088,23,69,50,0.18,771,7,193,115,151,19,1
3352,18,118,83,0.47,418,7,145,107,147,44,1
2287,44,32,90,0.55,605,5,200,125,98,16,1
1356,12,174,80,0.28,729,13,115,38,0,9,0
4079,42,145,81,0.23,499,9,61,53,186,34,1
2725,36,183,80,0.23,57,7,176,8,186,17,1
1332,25,136,75,0.31,516,4,18,175,109,45,1
759,37,99,30,0.2,267,7,129,43,8,36,1
4794,40,134,47,0.53,651,4,208,120,7,26,1
4463,22,63,97,0.29,978,7,182,110,193,42,1
3798,6,44,46,0.01,776,2,274,30,27,18,1
4829,16,196,55,0.19,522,13,70,165,63,17,1
713,23,34,66,0.2,306,12,34,122,143,41,1
2048,9,1,5,0.46,782,12,178,27,10,32,1
3495,43,92,63,0.48,997,7,25,116,170,49,1
3793,35,115,71,0.52,990,6,69,123,41,42,1
1545,29,28,15,0.55,582,14,270,74,138,41,1
3354,14,194,79,0.5,613,12,288,9,30,29,1
3813,5,71,28,0.17,393,1,189,174,171,21,1
1903,21,75,83,0.22,902,6,156,102,184,14,1
4709,6,94,15,0.34,41,9,203,166,89,26,1
1341,1,108,9,0.04,39,11,70,138,130,3,1
3631,31,6,22,0.46,108,9,128,179,143,12,1
3507,45,188,32,0.29,591,11,86,83,34,6,1
1686,41,169,93,0.56,628,1,73,151,67,24,1
3746,28,80,82,0.42,265,11,285,30,130,12,1
3049,3,83,8,0.43,321,5,220,85,13,3,0
3202,38,154,32,0.11,549,1,217,74,96,21,1
748,23,143,88,0.57,372,4,202,24,155,2,0
2210,40,34,3,0.58,130,3,53,46,147,39,1
4147,4,14,39,0.35,456,5,99,160,154,48,1
4787,6,197,83,0.12,729,8,202,110,68,40,1
